,Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
133,Republic of North Macedonia,Other Europe,72.3,75,0.77,16896.0,UM,2.1,0.7,0.3,0.3,1.5,0.0,0.04398368,2.8,0.5,0.3,0.698503606,0.008635438,1.55133585,-1.262256192,1.863040266,1.813657592
135,Romania,EU-27,77.7,73,0.82,31367.0,UM,19.0,0.6,0.1,0.5,1.4,0.0,0.103657575,2.7,0.9,0.2,1.078524771,0.101551682,2.450628155,-0.287037123,1.812764811,1.117127979
136,Russian Federation,Other Europe,74.1,69,0.82,25706.0,UM,145.8,1.2,0.1,0.7,3.6,0.2,0.026224688,5.8,1.9,0.3,4.210828797,1.187785838,7.712083888,1.910912299,3.841287612,0.752218424
137,Rwanda,Africa,59.4,66,0.53,2405.0,LI,13.6,0.2,0.0,0.2,0.1,0.0,0.038914646,0.6,0.2,0.0,0.00673208,0.00447253,0.243488781,-0.31054098,0.366854802,2.275381063
142,Saudi Arabia,Middle East/Central Asia,66.6,77,0.88,47423.0,HI,35.8,0.8,0.2,0.2,4.5,0.1,0.043026058,5.7,0.4,0.1,0.049429421,0.140564155,0.697532479,-5.047947389,3.804410937,8.23686358
143,Senegal,Africa,58.7,67,0.51,3505.0,LM,17.7,0.5,0.2,0.2,0.2,0.1,0.044698919,1.2,0.3,0.1,0.345240162,0.137812508,1.000162642,-0.219361335,0.807516598,1.219325663
144,Serbia,Other Europe,75.9,73,0.8,20474.0,UM,8.7,1.0,0.1,0.6,2.0,0.0,0.111434224,3.8,1.3,0.0,0.550451908,0.004598381,2.054991936,-1.775586759,2.536445314,1.864035877
145,Sierra Leone,Africa,53.0,60,0.48,1677.0,LI,8.3,0.5,0.1,0.3,0.1,0.1,0.033035202,1.0,0.4,0.2,0.114758269,0.157742667,0.921573084,-0.124702882,0.692799178,1.135315239
146,Singapore,Asia-Pacific,71.7,83,0.94,112699.0,HI,5.9,0.6,0.3,0.0,4.4,0.4,0.089583924,5.7,0.0,0.0,0.002074859,0.012136597,0.104126803,-5.633904237,3.799478642,55.10618678
147,Slovakia,EU-27,78.7,75,0.85,33079.0,HI,5.5,0.8,0.2,0.6,2.4,0.0,0.117204922,4.2,0.9,0.1,1.526890059,0.006210991,2.665671799,-1.493307176,2.753897928,1.560199187
151,South Africa,Africa,63.7,62,0.71,13157.0,UM,60.8,0.6,0.1,0.2,2.2,0.1,0.050031339,3.2,0.5,0.5,0.031594415,0.150192177,1.275586245,-1.937300307,2.127436006,2.518752898
152,South Sudan,Africa,39.0,55,0.39,794.0,LM,11.6,0.3,1.1,0.2,0.1,0.0,0.023624027,1.7,0.3,1.1,0.363152422,0.006688914,1.782236013,0.11319203,1.105169512,0.936488754
153,Spain,EU-27,79.9,83,0.91,39753.0,HI,46.7,1.2,0.2,0.2,1.8,0.5,0.057379487,3.9,1.1,0.1,0.411346213,0.060670944,1.72215542,-2.193410924,2.592720499,2.273642842
154,Sudan,Africa,49.6,65,0.51,3804.0,LM,46.0,0.3,0.5,0.1,0.2,0.0,0.019533009,1.1,0.4,0.5,0.218923148,0.018979283,1.131661469,-0.010194273,0.756088016,1.009008236
155,Suriname,South America,71.6,70,0.73,14818.0,UM,0.6,0.3,0.0,0.9,1.7,0.1,0.103943459,3.1,0.3,0.0,67.94996108,6.479268601,74.83845211,71.69935685,2.078574567,0.041944952
156,Sweden,EU-27,85.2,83,0.95,53897.0,HI,10.2,1.0,0.3,1.3,2.1,0.1,0.186263431,4.9,0.7,0.1,5.523063853,2.011729656,8.51950749,3.581579343,3.269684741,0.579602536
159,Tajikistan,Middle East/Central Asia,69.7,72,0.69,3966.0,LI,10.0,0.3,0.1,0.2,0.3,0.0,0.104688276,1.1,0.2,0.1,0.005301274,0.009601452,0.447701438,-0.613270415,0.702530165,2.369820071
160,"Tanzania, United Republic of",Africa,57.4,66,0.55,2876.0,LI,63.3,0.3,0.2,0.2,0.1,0.1,0.044710962,0.9,0.3,0.2,0.116900753,0.044997696,0.79975609,-0.126549295,0.613359792,1.158234863
162,Timor-Leste,Asia-Pacific,0.0,68,0.61,2860.0,LM,1.4,0.3,0.1,0.0,0.1,0.1,0.021591527,0.6,0.2,0.1,0.541295654,0.794154161,1.59116224,1.024141801,0.375456674,0.356356143
165,Trinidad and Tobago,Central America/Caribbean,60.4,73,0.81,25596.0,HI,1.4,0.4,0.2,0.2,4.5,0.1,0.000993573,5.4,0.0,0.0,0.124025214,1.208082975,1.37945418,-4.01364274,3.571078026,3.909587573
166,Tunisia,Africa,70.7,74,0.73,10535.0,UM,12.0,0.1,0.1,0.2,0.9,0.1,0.025266878,1.4,0.4,0.1,0.031424658,0.210163693,0.716018316,-0.645334105,0.901429325,1.901281561
